,name,team,rank,$,points,risk,tier,outlook,position,points_per_dollar,risk_adjusted_points_per_dollar
136,Terry McLaurin,WAS,26,11,181.1,0.36666666666666664,4,"It feels like McLaurin has been on the brink of a big season for quite a while but lackluster QB play has prevented him from reaching his ceiling…enter Carson Wentz. Despite the fact that fantasy managers should feel confident in McLaurin’s talent and opportunity, there are genuine concerns if McLaurin has top-12 WR upside. He’s more of a WR2 in fantasy circles this year.",WR,16.464,6.037
137,DK Metcalf,SEA,27,10,179.5,0.4444444444444444,4,"There is no denying the talent and raw athleticism of DK Metcalf, but you can't help but have legitimate question marks surrounding the Seattle offense. Pete Carrol seems firmly on team #EstablishTheRun, now Mr. Irresponsible, Drew Lock, is under center. In his pro career, Lock’s TD rate sits at just 3.8%, well below the career 6.8% rate from Russell Wilson. On a run-first team with suspect QB play, Metcalf’s ceiling looks much lower than it did a season ago.",WR,17.95,7.978
138,Rashod Bateman,BAL,28,10,177.2,0.30000000000000004,4,"Marquise Brown saw 146 targets a season ago, which was the 9thhmost among all WRs. That, combined with the departure of Sammy Watkins, leaves a massive opportunity for Bateman to take a step forward in year two. Of course, the concerns are that this offense projects to be run-heavy and Mark Andrews is this team’s WR1. Even so, Bateman is a talented young player with an exciting opportunity in 2022. Projecting a 22+ target share is a good place to start.",WR,17.72,5.316
139,Christian Kirk,JAX,29,9,176.0,0.4666666666666667,4,"Kirk signed a huge deal in free agency to head to Jacksonville, but there are tons of question marks about his fantasy ceiling in this offense. While the coaching and scheme should be light years ahead of what they had last year, Kirk’s never been a 25+% target share type of WR, and we need to see more from Trevor Lawrence to buy into Kirk as a top fantasy option. Expect some splash games from Kirk, but the consistency is likely to be an issue.",WR,19.556,9.126
140,Elijah Moore,NYJ,30,9,175.1,0.36666666666666664,4,"Moore flashed when given the opportunity last season, but the WR depth chart is suddenly crowded in New York and Zach Wilson isn’t exactly the type of QB we feel confident can support multiple fantasy pass catchers. That said, he posted a strong 1.75 yards per route run as a rookie and should dominate slot snaps with Jamison Crowder in Buffalo. He could easily finish the year as the team's most targeted player but the upside is capped.",WR,19.456,7.134
141,JuJu Smith-Schuster,KC,31,9,174.7,0.4222222222222222,4,"Tyreek Hill vacates a 25% target share from a season ago, so it’s easy to tell yourself a story where JuJu is back in the good graces of fantasy managers after a lackluster couple of seasons in Pittsburgh. Of course, Patrick Mahomes is a guy who can support multiple fantasy options, but the WR2 role behind Tyreek has not been profitable for fantasy purposes. With Kelce still dominating targets, there’s probably only room for one of the KC WRs to be a reliable fantasy option. It’s possible that guy is JuJu, but one thing is for sure and that’s Jackson Mahomes and JuJu teaming up for some killer TikTok dances this season.",WR,19.411,8.196
142,Hunter Renfrow,LV,32,9,172.5,0.2222222222222222,4,"After turning in the WR11 fantasy finish, Renfrow is an obvious regression candidate for fantasy leagues in 2022. While he’s locked into the slot role for Josh McDaniels’ offense, and that’s compelling, he’s now competing with Davante Adams and Darren Waller for targets. It’s probably unrealistic to project Renfrow for the 7.5 targets per game he saw last year if Adams and Waller are healthy this season. Consider him more of a WR3 in PPR leagues.",WR,19.167,4.259
143,Michael Thomas,NO,33,7,169.9,0.6444444444444444,4,"Thomas missed all of 2021 while recovering from his ankle surgery, and it’s been quite a while since we’ve seen him play football. In fact, the last time Thomas was on the field in 2020, Drew Brees was still in the NFL and Sean Payton was the head coach. There are many moving parts here, but he’s consistently been a 28+% target share type of guy. Thomas’ range of outcomes this season is massive.",WR,24.271,15.641
144,Amari Cooper,CLE,34,7,169.0,0.3333333333333333,4,"Cooper’s 2022 fantasy outlook largely depends on Deshaun Watson and his ongoing legal situation. If Watson plays a full season, Cooper would skyrocket up ADP boards given his talent and minimal target competition. However, if Watson were to miss a significant chunk of the season, it’s tough to get excited about any WR catching passes from Jacoby “Where’s the Beef” Brissett, who threw a combined 5 TD in 5 starts for Miami last season.",WR,24.143,8.048
145,Robert Woods,TEN,35,6,166.4,0.6111111111111112,4,"Coming off a torn ACL, Woods goes from one of the more pass-centric offenses in the league to one of the most run-heavy offenses in Tennessee. We saw Julio go to Tennessee and do virtually nothing. Hopefully the same isn’t true for Bobby Trees.",WR,27.733,16.948
146,DeVonta Smith,PHI,36,6,164.2,0.30000000000000004,4,Smith’s 2022 outlook largely depends on what the Eagles decide to do from an offensive philosophy and Jalen Hurts’ ability to take a step forward as a passer. They were extremely run-heavy down the stretch but opened the year as one of the most pass-centric offenses in football. A.J. Brown’s arrival and monstrous contract will certainly make it more difficult for Smith to earn the target share he saw as a rookie. The real question here is whether or not Hurts can support two viable fantasy WRs.,WR,27.367,8.21
147,Gabe Davis,BUF,37,5,163.1,0.5555555555555556,4,"Davis showed what he can do in the playoffs last season when he exploded for 4 TD against the Chiefs. That said, this is still the Stefon Diggs show but we can expect plenty of spike weeks from Davis who should be running routes across from Diggs as this team’s WR2. Cole Beasley vacates a 19.3% target share from a season ago, and Buffalo throws at a top-5 rate. Oh yeah, and that guy Josh Allen… he throws a lot of touchdowns.",WR,32.62,18.122
148,Chase Claypool,PIT,38,3,155.6,0.5555555555555556,5,"It was a disappointing season for Claypool to say the least as he got benched at times throughout the season and failed to live up to his ADP, logging just three top-24 fantasy weeks all season. His 56% catch rate a year ago ranked 48th among 50 WRs who saw at least 75 targets. He’s a guy oozing with talent, but can the combination of Kenny Pickett and Mitch Trubisky help him elevate his game to the next level in year three?",WR,51.867,28.815
149,Chris Godwin,TB,39,3,155.5,0.6222222222222222,5,"Godwin’s 2021 season came to an early end after he tore his ACL late in the season, which makes his early season 2022 outlook a bit uncertain. It’s possible he starts the season slowly, but when he’s healthy, he’s tied to one of the most pass-happy offenses in football with Tom Brady. Mike Evans will certainly get his around the goal line, but Godwin actually led the Bucs in targets from TB12 inside the red zone, giving him more upside than most would expect.",WR,51.833,32.252
150,Allen Lazard,GB,40,3,155.1,0.47777777777777775,5,"Allen Lazard is one of the biggest winners of the off-season. He went from being a guy who could potentially get buried on the depth chart by big-name free agents to entering the season as Rodgers’ WR1 with Davante Adams now in Las Vegas. Lazard will be competing with perennial disappointment, Sammy Watkins, and 2nd round rookie, Christian Watson for targets this year. With Adams vacating a 31.6% target share, there’s plenty of opportunity for Lazard to make a fantasy impact in 2022.",WR,51.7,24.701
151,Tyler Lockett,SEA,41,2,153.0,0.4444444444444444,5,"Just like with his teammate, DK Metcalf, the offensive environment and QB play are a concern. You could argue no other QB/WR combo had shown more chemistry on deep targets over the last five years than Russ and Lockett…and now that’s gone. Even with Russell Wilson, Lockett’s consistency was a concern for fantasy managers. Throw Drew Luck under center and now the floor has never looked lower for a WR turning 30 in September. Lockett looks like a boom/bust pick in the middle rounds of fantasy drafts this season.",WR,76.5,34.0
152,Drake London,ATL,42,2,151.6,0.47777777777777775,5,"Aside from Kyle Pitts, there isn’t a ton of talent on this Falcons roster, especially at the WR position. London will step into an every down role in year one with plenty of opportunity, but the QB play is likely to be suspect, giving London a shaky floor in year one. Of course, we’ve been spoiled with elite fantasy production from rookie WRs recently but historically rookie wideouts are a bit slow to develop.",WR,75.8,36.216
153,DeVante Parker,NE,43,2,151.0,0.47777777777777775,5,"Parker was traded to the Patriots this off-season, which is likely to severely cap his upside. A year ago, the Patriots threw at the lowest rate in the entire league when games were within one score as they chose to lean heavily on the run game. After taking an offensive lineman in Round 1 of the NFL Draft and drafting two more running backs, it’s likely they continue to feature the running game. While Parker will have some spiked weeks thanks to TD upside, the target volume might be difficult to trust despite the lack of high-end talent to compete with on this depth chart.",WR,75.5,36.072
154,Kadarius Toney,NYG,44,2,150.8,0.5888888888888889,5,"Toney had a wild rookie season in New York. From the forgettable training camp to the ankle injury to the random 10/189 explosion in Week 6 against Dallas, Toney is a polarizing fantasy WR. However, the underlying efficiency metrics were among the best in football. His 2.14 yards per route run was 11th best at the position last year, and he earned a target on 27% of his routes. If he can see more targets this year, Toney has a chance to post some ceiling performances, but of course, the floor is quite low after what we saw last year.",WR,75.4,44.402
155,Garrett Wilson,NYJ,45,1,149.5,0.47777777777777775,5,"Wilson was selected with the 10th overall pick in the 2022 NFL Draft, so he’s clearly a part of the Jets long-term plan, but his rookie season could be difficult. Corey Davis is still on the roster, and Elijah Moore showed he’s a talented WR last season. The team also added two viable pass-catching TEs via free agency, so the path to earning targets in year one won’t be easy. Of course, QB play and overall offensive environment are the primary concerns.",WR,149.5,71.428
156,Chris Olave,NO,46,1,145.6,0.4666666666666667,5,"It’s difficult to project volume for the rookie in the Saints passing offense in 2022 given that they were near the bottom of the league in pass rate and the influx of talent on the depth chart. Michael Thomas is back, and Jarvis Landry is there on a one-year deal. Alvin Kamara will most certainly get his out of the backfield, further splitting up the passing game pie.",WR,145.6,67.947
157,Treylon Burks,TEN,47,1,144.8,0.5888888888888889,5,"The Titans depth chart is wide open after the A.J. Brown trade. Tennessee replaced Brown with Burks via the 1st round of the NFL Draft and as it stands currently, Robert Woods is the only real competition for targets. Woods, who’s now 30 years old, is coming off a torn ACL, further opening up Burks’ opportunity. That said, this offense still flows through King Henry.",WR,144.8,85.271
158,Marquez Valdes-Scantling,KC,48,1,144.7,0.5555555555555556,5,"With Tyreek Hill now out of town and Mecole Hardman failing to contribute on a consistent basis throughout his career, MVS should have the chance to operate as the Chiefs' primary field stretcher. As we know, his production is difficult to trust on a weekly basis, but that role in this Chiefs offense should bring a few boom weeks from MVS this season.",WR,144.7,80.389
159,Kenny Golladay,NYG,49,1,143.3,0.7,5,"Kenny Golladay was the ultimate bust in 2021, scoring the exact same number of TDs as you, your dog, and your great grandmother…combined. Yes, that’s right. Kenny G, who flashed red zone prowess during his time in Detroit, didn’t score a single TD a year ago. It’s safe to say those routes…well, they weren’t the smoothest. However, now Golladay is buried in ADP and if there’s any reason for optimism, it’s that Brian Daboll is going to want to throw the ball at one of the highest rates in football in a fantasy friendly scheme. We love throwing Kenny G on the bench as your WR3 or 4 after most fantasy managers are willing to kick him to the curb after a disappointing 2021.",WR,143.3,100.31
160,Brandon Aiyuk,SF,50,1,141.6,0.36666666666666664,5,"Aiyuk was the talk of the town entering fantasy drafts a season ago but was a major disappointment. Deebo Samuel is back, George Kittle can always pop up for a 100-yard game, and Kyle Shanahan is likely to continue to lean on the run game. Plus, can Trey Lance support multiple pass catchers? There’s a lot up in the air for Aiyuuuuukennn!",WR,141.6,51.92
161,Marvin Jones Jr.,JAX,51,1,140.9,0.4444444444444444,5,"Jones posted his worst yards per route run and yards per reception marks since his 2012 rookie season. Jones was part of the trainwreck that was the Urban Meyer experience a season ago, so maybe that’s the reason for his lack of production. However, at age 32, is it fair to wonder if this is the beginning of the end for Marv.",WR,140.9,62.622
162,Tyler Boyd,CIN,52,1,140.6,0.1888888888888889,5,"With Ja’Marr Chase and Tee Higgins both seeing about a 24% target share last season, Boyd was clearly the third option in the passing game (18% target share), which is always going to come with reduced consistency in terms of fantasy performance. We can expect some solid weeks from Boyd running out of the slot for Cincy this year, but predicting those weeks with Higgins and Chase healthy is going to be difficult to do.",WR,140.6,26.558
163,Michael Gallup,DAL,53,1,137.9,0.7,5,"Gallup tore his ACL in Week 17 but didn’t have surgery until February, giving him a tight timeline to be ready for Week 1. If he does start the season in the lineup, it’s reasonable to expect a slow start coming off an injury. As a result, he may be a solid trade target after the first few weeks of the season as he should play his best football over the second half of the season. There’s plenty of opportunity for Gallup once he’s healthy with Dallas vacating 181 WR targets from a season ago.",WR,137.9,96.53
164,K.J. Osborn,MIN,54,1,136.4,0.30000000000000004,6,"Osborn flashed last season as the Vikings WR3 with a respectable six weeks inside the top-24. The problem is he’s not going to see enough volume to be a reliable contributor in fantasyland as long as Justin Jefferson, Adam Thielen, and Dalvin Cook are all healthy.",WR,136.4,40.92
165,Jakobi Meyers,NE,55,1,135.9,0.3333333333333333,6,"Meyers flashed a handful of WR2 weeks last season, but the reality was he just didn’t score enough TDs to be a reliable contributor for fantasy. Now, DeVante Parker is in town as a red zone threat, and Hunter Henry also figures to be heavily featured near the goal line once again for a team that ranked 29th in pass rate over expectation inside the red zone. In other words, when they got close last year, it was the Damien Harris and Rhamondre Stevenson show. If that continues, the ceiling for Meyers is low.",WR,135.9,45.3
166,Julio Jones,TB,56,1,135.6,0.6666666666666666,6,"Tom Brady just wants to watch the world burn. Adding Julio Jones to an already elite WR group feels like cheating. But remember this is an age-33 version of Julio who saw just 16 percent of the Titans' targets when he was on the field. That last part is key as he played in only 10 contests finishing with a paltry 31/434/1 line. TDs have never really been his thing but with Brady, all things are possible. He'll likely be running as the old man out of the slot but as a part-time player once Chris Godwin comes back.",WR,135.6,90.4
167,Kendrick Bourne,NE,57,1,133.4,0.30000000000000004,6,The Patriots are likely to run the heck out of the football and now DeVante Parker is on the roster. He’ll rotate in and out of the lineup as the team’s WR2 on a run first team…gross.,WR,133.4,40.02
168,Jarvis Landry,NO,58,1,133.3,0.5555555555555556,6,"Over 50% of Landry’s targets last year came less than 10 yards down the field, and now he’s sharing the field with Michael Thomas who has dominated the short-to-intermediate passing game in NOLA for years. Alvin Kamara will also get his out of the backfield, making it difficult to see enough volume for Landry to produce on a consistent basis in this offense, especially when you factor in Chris Olave and his 11th overall NFL Draft capital.",WR,133.3,74.056
169,Russell Gage,TB,59,1,131.5,0.30000000000000004,6,"Gage quietly finished strong for the Falcons a season ago. From Weeks 12-17, he was the WR12 in fantasy land, earning an average of 8.4 targets per game as the lone viable receiving option across from Kyle Pitts. Now in Tampa Bay, Gage gets a big-time QB upgrade to Tom Brady, but his target competition probably limits his fantasy ceiling. Because Tampa throws at such an elevated rate, we can expect some usable fantasy weeks from Gage especially if Chris Godwin starts the year slowly. Consider him FLEX territory.",WR,131.5,39.45
170,Randall Cobb,GB,60,1,131.4,0.5888888888888889,6,"Per our extensive research, Cobb is the only WR left on the Green Bay roster who has done a State Farm commercial with Aaron Rodgers, which means he leads the group in trust rankings. In all seriousness, this WR depth chart is wide open, and Cobb should see some targets out of the slot. If 4 catches for 32 yards is your thing, ole Randy Cobb is your guy.",WR,131.4,77.38
171,Rondale Moore,ARI,61,1,126.6,0.4444444444444444,6,"Moore’s 2022 fantasy outlook has been a wild ride this off-season. After DeAndre Hopkins’ 6-game suspension, the trade for Marquise Brown, and the loss of Christian Kirk via free agency, Moore’s range of outcomes are all over the map. The reality is, however, unless Moore finds his way onto the field as the every down slot WR for the Cardinals, he just won’t see the field often enough to be reliable in fantasy.",WR,126.6,56.267
172,DeAndre Hopkins,ARI,62,1,126.2,0.7444444444444445,6,"Hopkins is a tough guy to draft in season-long leagues this year given that he was slapped with a 6-game suspension to open the year. We know Hopkins is an extremely talented WR, but this isn’t the same role for Hopkins that it was when he was a Houston Texan. He’s now 30 years old, and in this Cardinals’ offense, the targets are more spread out. A year ago, he only saw a 20.7% target share which is well below the 30% mark he saw when he was in Houston. In general, the arrow is pointing down on Nuk.",WR,126.2,93.949
173,Robbie Anderson,CAR,63,1,125.5,0.7,6,"Remember Robby Anderson? After a forgettable 2021 season, we don’t blame you if you don’t. He entered the year with the QB chemistry narrative with Sam Darnold thanks to their days together in New York, but man, did he disappoint. Anderson caught just 48% of his targets last year, one of the worst marks in football. Darnold is still playing QB for what projects as a bottom five offense. Yikes.",WR,125.5,87.85
174,KJ Hamler,DEN,64,1,124.1,0.5555555555555556,6,"It's hard to remember after tearing his ACL a year ago and having hip issues but the Broncos took Hamler in the 2nd Round of the 2020 NFL Draft, the same draft they selected Jerry Jeudy. Hamler is a small, explosive receiver, who will likely play in the slot with Sutton and Jeudy on the outside. He's an interesting late-round flier in PPR leagues.",WR,124.1,68.944
175,Donovan Peoples-Jones,CLE,65,1,122.8,0.30000000000000004,6,"Amari Cooper is this team’s WR1, but the WR2 spot is a competition between DPJ and 2022 3rd round rookie, David Bell. Peoples-Jones has flashed an ability to produce on the deep ball intermittently throughout his young career and now he gets a QB upgrade to Deshaun Watson. We’ll see!",WR,122.8,36.84
176,Jahan Dotson,WAS,66,1,122.5,0.5222222222222223,6,"Terry McLaurin is still there to lead the team in targets, but the WR2 role is up for grabs after a disappointing season from Curtis Samuel. His 1st Round Draft capital suggests the team will want to work him into the lineup sooner rather than later, but can Carson Wentz support multiple fantasy pass catchers?",WR,122.5,63.972
177,Corey Davis,NYJ,67,1,121.6,0.47777777777777775,6,"Davis’ 2022 fantasy outlook depends largely on whether or not Zach Wilson can take a step forward in his second NFL season. Obviously, we sort of know what Davis is at this point in his career and with the team adding Elijah Moore last year and Garrett Wilson with the 10th overall pick this season, our expectations for the former #5 overall pick need to be kept in check. After all, the Jets ranked 28th in scoring and plays per game last year.",WR,121.6,58.098
178,Mecole Hardman,KC,68,1,121.2,0.47777777777777775,6,"The bull case for Mecole Hardman is that Tyreek Hill is out of the way and this is an ambiguous WR depth chart. The bear case is that the Chiefs may have told us how they feel about Hardman by their transactions this off-season. They signed MVS and JuJu in free agency then drafted Skyy Moore in round 2 of the NFL Draft. Of course, any WR tied to Patrick Mahomes will have usable fantasy weeks, but Hardman is tough to trust after what we’ve seen thus far.",WR,121.2,57.907
179,Jameson Williams,DET,69,1,120.9,0.6333333333333333,6,"Jameson Williams tore his ACL in the National Title game for Alabama, so his rookie year could get off to a slow start. He’s a name to monitor for the second half of the season in what is quietly a really exciting Lions offense with a ton of talent.",WR,120.9,76.57
180,Jalen Tolbert,DAL,70,1,120.7,0.47777777777777775,6,"Because Amari Cooper is now a Brown and Cedrick Wilson is a Dolphin, Dallas is among the leaders in the league in terms of vacated targets available at the WR position. If Tolbert can earn the WR3 role out of camp over James Washington, he could have some fantasy viable weeks in a good passing offense. Look for him on the waiver wire throughout the year.",WR,120.7,57.668
181,Van Jefferson,LAR,71,1,120.6,0.4444444444444444,6,"Jefferson’s 86 targets a year ago were second among Rams WRs, but his role in the offense took a hit when Odell Beckham arrived. Now, Allen Robinson is on the depth chart and Cooper Kupp is sure to dominate targets yet again. That leaves Van likely operating as the team’s deep threat. A year ago, he averaged 16 yards per reception, so we should get some spike weeks from Van on a good offense, but he’s unlikely to see enough volume to be reliable for fantasy.",WR,120.6,53.6
182,DJ Chark,DET,72,1,119.7,0.36666666666666664,6,"The Lions' pass-catching room is suddenly one of the more exciting ones in football, but it’s awfully crowded. Chark joins a competition for targets that includes T.J. Hockenson, Amon-Ra St. Brown, rookie Jameson Williams, and D’Andre Swift out of the backfield. We should expect some splash weeks for Chark this year, but the consistency will be an issue.",WR,119.7,43.89
183,Curtis Samuel,WAS,73,1,119.2,0.7444444444444445,6,"Samuel’s 2021 season was one to forget. He was brought over from Carolina to reunite with Ron Rivera, but a lingering groin injury derailed his season. Now, the team added Jahan Dotson in the 1st round of the NFL Draft and re-signed JD McKissic to steal work out of the backfield. We won’t blame anyone for throwing a dart at Samuel late in their draft, but it’s tough to feel confident about Samuel in 2022.",WR,119.2,88.738
184,Joshua Palmer,LAC,74,1,115.1,0.30000000000000004,6,"Palmer flashed as a rookie at times last season, and there was hope he could emerge if the team decided to move on from Mike Williams. Well, they didn't! Instead, they locked up Williams to a 3-year deal, which makes Palmer the WR3 at best on this squad. Keep an eye out for him on the waiver wire this year should Williams or Keenan Allen miss any time.",WR,115.1,34.53
185,Cedrick Wilson Jr.,MIA,75,1,110.9,0.30000000000000004,7,"Wilson was quietly a nice option for the Cowboys at times last season but now finds himself playing on a depth chart that includes Tyreek Hill, Jaylen Waddle, and Mike Gesicki. Sure, he'll mix in as a WR3, but if Mike McDaniels wants to employ a scheme similar to that of San Francisco, we can't really get excited about a WR3 on a run-heavy team.",WR,110.9,33.27
186,Nico Collins,HOU,76,1,109.7,0.36666666666666664,7,Brandin Cooks is the WR1 and John Metchie’s 2nd round draft capital suggests he’s the WR2 when he’s healthy. Collins will probably rotate as the WR3 on one of the worst teams in football.,WR,109.7,40.223
187,A.J. Green,ARI,77,1,106.4,0.5888888888888889,7,"Oh, A.J… your career was amazing over the last decade, but as they say, all good things must come to an end. Green’s back with Arizona on a one-year deal for his age 34 season and averaged just 3.4 receptions per game last year. In other words, you couldn’t start him with any confidence. Sure, DeAndre Hopkins is suspended for six games and Christian Kirk is gone, but it was tough to watch last season.",WR,106.4,62.658
188,Devin Duvernay,BAL,78,1,103.3,0.30000000000000004,7,"Marquise Brown’s 26% target share is gone, opening up plenty of volume for one of the WRs in Baltimore. That’s most likely to be Rashod Bateman, but Duvernay is a name to monitor for deeper formats as there’s a path to the WR2 role behind Bateman. Of course, the concern is that this offense figures to be run heavy and Mark Andrews will likely lead the team in targets.",WR,103.3,30.99
189,Skyy Moore,KC,79,1,102.2,0.5222222222222223,7,"Tyreek Hill’s 25% target share is up for grabs in KC’s offense, and with the lack of high-end talent on the WR depth chart, it makes sense to take some shots on Moore in drafts. After all, Mahomes has thrown for at least 37 TD in three of his four pro seasons as a starter. They can’t all go to Travis Kelce, right?",WR,102.2,53.371
190,Alec Pierce,IND,80,1,100.5,0.6333333333333333,7,"The Colts took Alec Pierce in the 2nd round of the NFL Draft, and the depth chart and opportunity behind Michael Pittman Jr. is wide open. He's one of just a handful of rookies that could take the field as early as Week 1, making him a fine late-round dart throw, especially in deeper formats.",WR,100.5,63.65
191,Wan'Dale Robinson,NYG,81,1,97.9,0.5555555555555556,7,"The Giants surprised a lot of people when they took Wan'Dale Robinson in Round 2 of April's draft. He'll probably carve out a role in the return game early in the season, but with Sterling Shepard recovering from a torn Achilles, he could work his way into the WR3/4 on the depth chart.",WR,97.9,54.389
192,Parris Campbell,IND,82,1,96.6,0.6333333333333333,7,"Injuries, injuries, and more injuries - that’s the story of Parris Campbell’s three-year career thus far. Maybe he can stay healthy and earn more playing time on a Colts depth chart that’s wide open behind Michael Pittman Jr.",WR,96.6,61.18
193,Sammy Watkins,GB,83,1,94.8,0.47777777777777775,7,"The Lizard King isn’t even a lock to make the Packers 53-man roster as he signed just a one-year deal worth $1.85 million and can be cut for the same dead cap hit as you, the reader. Yup, zero dollars.",WR,94.8,45.293
194,Zay Jones,JAX,84,1,92.0,0.5,8,"Jones has struggled to earn targets in his career, as he’s failed to eclipse a 12% target share in each of his last three seasons in Las Vegas. It’s probably best we keep our expectations low for a WR who’s now playing for an organization that’s difficult to get excited about in Jacksonville.",WR,92.0,46.0
195,Nick Westbrook-Ikhine,TEN,85,1,87.5,0.36666666666666664,8,Westbrook-Ikhine stepped in admirably last year when A.J. Brown and Julio Jones were hurt. He's the WR3 on this low-volume passing team who might carry a bigger role if Robert Woods starts slowly returning from injury or Treylon Burks has the rookie woes. He is off the redraft radar despite the fact his last name is fun to say.,WR,87.5,32.083
196,Bryan Edwards,ATL,86,1,85.4,0.6333333333333333,8,"Bryan Edwards is an eternal tease. He had a huge opportunity in Las Vegas with Henry Ruggs' being released and Darren Waller injured for a stretch. Instead, he was shown up by Hunter Renfrow, a guy who looks more like an accountant than an elite NFL WR. Regardless, Edwards was traded to Atlanta this off-season and could compete for a starting role. He's big but so is Drake London and Kyle Pitts.",WR,85.4,54.087
197,Terrace Marshall Jr.,CAR,87,1,85.1,0.7444444444444445,8,"Wowza...that 2021 season didn't go well did it? Despite 2nd round Draft capital, Marshall couldn't find his way onto the field. D.J. Moore and Robby Anderson are back, but the Panthers didn't do much to upgrade the QB position, so even if Anderson gets traded or Moore gets injured, it might not matter. Christian McCaffrey is also back to soak up a ton of targets out of the backfield.",WR,85.1,63.352
198,Quez Watkins,PHI,88,1,84.7,0.3333333333333333,8,"Watkins is a big play threat that is stuck as the 4th option at best on this low-volume passing attack. He'll have the occasional long bomb but A.J. Brown and DeVonta Smith should dominate the target share. Apart from injuries on the depth chart, he's best left on the waiver wire to start the season.",WR,84.7,28.233
199,Jamison Crowder,BUF,89,1,81.2,0.6666666666666666,9,"Crowder goes from one of the worst offenses in football a year ago with the Jets to playing in arguably the best offense in football with Josh Allen and the Bills. Cole Beasley saw a 19% target share last season, so Crowder should have an opportunity as the Bills’ slot WR. We know the ceiling for a guy like Crowdaaahhhhh is low, but he’s a solid bench option who can fill in during bye weeks.",WR,81.2,54.133
200,Laviska Shenault Jr.,JAX,90,1,80.7,0.6444444444444444,9,"Laviska didn’t do much in 2021 in Urban Meyer’s system where he was used as a low aDOT player. Maybe a scheme change and Trevor Lawrence in year two can change that, but at this point, Viska is nothing more than a late-round dart.",WR,80.7,52.007
201,George Pickens,PIT,91,1,78.2,0.6333333333333333,9,"For 2022, we probably shouldn't expect too much given that he'll be competing with Diontae Johnson and Chase Claypool for targets. Of course, there are QB concerns as well with some combination of Kenny Pickett and Mitch Trubisky. He has the type of tools you want in a future WR1 but expecting anything more than being the 4th best option in this offense is probably wishful thinking.",WR,78.2,49.527
202,Romeo Doubs,GB,92,1,77.9,0.6666666666666666,9,The 4th round rookie has received tons of camp buzz with Aaron Rodgers even recently praising his play on the practice field. Doubs had a productive final two years at Nevada and could be a solid outside receiver in this league. This is peak camp hype season so temper your expectations a bit considering Green Bay rookie WRs have never really produced for fantasy with Rodgers. He's a fun late stab in draft hoping you strike gold.,WR,77.9,51.933
203,David Bell,CLE,93,1,77.9,0.5555555555555556,9,"Bell's range of outcomes in 2022 is pretty wide. A lot will depend on if Deshaun Watson gets to play all 17 games and if Bell can beat out Donovan Peoples-Jones as the WR2. He's been comped to a Jarvis Landry type, and ironically, Landry is no longer in Cleveland.",WR,77.9,43.278
204,Olamide Zaccheaus,ATL,94,1,77.6,0.47777777777777775,9,"If you haven't taken a look at the Falcons' depth chart, it's a real treat. We wouldn't recommend doing it while driving or bad things could happen. That depth chart includes Zaccheaus, who could be third in line for targets from ya boy Marcus Mariota. Let's be real, he's a replacement-level talent who is firmly behind Kyle Pitts and Drake London in the pecking order for one of (if not the) worst offense in football. Yucky.",WR,77.6,37.076
205,Isaiah McKenzie,BUF,95,1,77.4,0.6666666666666666,9,"McKenzie is a fun player to root for as he's been electric when given the opportunity in his career. He's a quick-twitch slot guy who blew up in Week 15 versus New England (11/125/1) in a spot start. With Cole Beasley gone, there is some healthy competition between McKenzie and veteran Jamison Crowder for the starting slot role. Buffalo ran 3-wide more than anyone in the league and the camp hype train is loud and constant for McKenzie to win the job. He's still mostly a late-round flier in PPR leagues.",WR,77.4,51.6
206,Christian Watson,GB,96,1,76.7,0.5555555555555556,9,"Davante Adams has averaged 153 targets per year over the last four seasons, opening up a massive hole on the depth chart. Can Christian Watson earn the trust of Aaron Rodgers as a rookie to help fill the void? We don't mind taking a flier later in drafts but realize that no rookie WR with Aaron Rodgers has ever seen more than 73 targets.",WR,76.7,42.611
207,N'Keal Harry,CHI,97,1,73.9,0.5222222222222223,9,"Remember me? After being drafted with the final pick of the 1st Round in the 2019 NFL Draft, N’Keal Harry hasn’t been able to make any sort of impact. Bill Belichick identified the Patriots’ weaknesses and decided it was Harry that needed to go. Chicago might be even worse as the Justin Fields-led offense projects to be a low volume team. He'll have to fight off Byron Pringle and 3rd round pick Velus Jones Jr. to have any relevance. That doesn't sound like a tall order but then again, this is N'Keal Harry we're talking about...",WR,73.9,38.592
208,Byron Pringle,CHI,98,1,73.6,0.7,9,"Well, someone has to operate as the Bears WR2 this year, right? Although, Byron Pringle barely produced with Patrick Mahomes, so what makes us think he can be a reliable option with Justin Fields in year two?",WR,73.6,51.52
209,Deonte Harty,NO,99,1,71.6,0.3333333333333333,9,"Harty is a name you might've forgotten but he pops in a number of metrics we care about for fantasy. He was targeted on 26.9 percent of his routes (7th best among WRs) and an insane 2.69 yards per route run (5th best). With the additions of rookie Chris Olave and veteran Jarvis Landry, he might be squeezed into a part-time role in 2022. Nevertheless, he could find his way into fantasy relevance again if another WR goes down ahead of him.",WR,71.6,23.867
210,Velus Jones Jr.,CHI,100,1,67.0,0.6333333333333333,9,"Behind Darnell Mooney, the WR depth chart is wide open. Maybe Jones could surprise some people and catch a few passes from Justin Fields? He'll probably start the year as the team's kick and punt returner.",WR,67.0,42.433
